Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:ccal;Characteristics:prot;Characteristics:fat;Characteristics:carb;Weight;Length;Width;Height
9,10648E+11;;;;dishes;lite-6-3;Салат с тунцом;Салат, огурец, тунец филе, яйцо, соус;https://static.tildacdn.com/tild6437-6466-4939-a366-663466623235/Rectangle_30.png;0;;;;;6cXMiZ8jCDcd1VfjF2rG;;;;;;120;0;0;0
9,64031E+11;;;;dishes;lite-6-4;Морковно-сельдереевый суп;Морковь, сельдерей, молоко, лук;https://static.tildacdn.com/tild3164-6630-4036-a632-643437646435/Mask_Group.png;0;;;;;cCyDLPmbGZa9SO2lfBvB;;;;;;280;0;0;0
1,00502E+11;;;;dishes;lite-6-5;"Манты ""а-ля""";Куриный фарш, мука, яйцо, вода, соус сметанный;https://static.tildacdn.com/tild6434-6663-4436-a262-356236666637/Rectangle_29.png;0;;;;;c5TSvRlJLo36j05PkuOB;;;;;;250;0;0;0
7,75349E+11;;;;dishes;lite-6-6;Овощное соте с пастой и базиликом;Паста тальятелле, цукини, перец, морковь, соус песто;https://static.tildacdn.com/tild6539-3065-4863-b465-626635643639/Rectangle_42.png;0;;;;;1GnASN30l4EnOY7Dp0BU;;;;;;250;0;0;0
8,16187E+11;;;;dishes;lite-6-dessert;"Пирожное ""Шу""";Сливки, сахар, творожный сыр, мука, сгущеное молоко, соль, вода, яйцо, ванилин, миндаль, карамель;https://static.tildacdn.com/tild6134-3734-4262-a166-663230616130/Rectangle_21.png;0;;;;;Uv9vrDNFjxeDE3nZBb8K;;;;;;60;0;0;0
4,84833E+11;;;;dishes;lite-7-1;Брошет из овощей;Филе куриное, перец, шампиньон, лук красный, кабачки, томат;https://static.tildacdn.com/tild6265-3538-4133-b066-663832633730/Rectangle_10.png;0;;;;;spVTEp0H5ru5aFZFb0hE;;;;;;250;0;0;0
1,66267E+11;;;;dishes;lite-7-2;Капрезе;Томат, песто, фрилисс, моцарелла;https://static.tildacdn.com/tild3939-6165-4561-b463-303432623938/Rectangle_28.png;0;;;;;AooYIz3POEx1FH6FPAkX;;;;;;120;0;0;0
3,35337E+11;;;;dishes;lite-7-3;Фруктовый салат;Фрукты, ягодный мусс, зефир;https://static.tildacdn.com/tild3135-3339-4631-b262-613963383639/Rectangle_30.png;0;;;;;SHyKyNIgEfAIk8fOjajV;;;;;;200;0;0;0
3,23064E+11;;;;dishes;lite-7-4;Куриный суп;Курица, картофель, морковь, макарошки;https://static.tildacdn.com/tild3936-6332-4165-b633-303961383935/Mask_Group.png;0;;;;;dT9nyD58kmga2yJ8hmnt;;;;;;280;0;0;0
4,56989E+11;;;;dishes;lite-7-5;Лобио;Фасоль, томат, морковь, грецкий орех, тортилья;https://static.tildacdn.com/tild3966-3937-4137-b532-313131666431/Rectangle_29.png;0;;;;;lvmvznN3JOiZ6jjjNYKh;;;;;;250;0;0;0
8,65506E+11;;;;dishes;lite-7-6;Запеченая куриная грудка с овощами;Филе ципленка, перец сладкий, картофель, кабачок, морковь бэйби, специи, зелень;https://static.tildacdn.com/tild3864-3131-4964-b937-353039636333/Rectangle_43.png;0;;;;;apxC5Nep3UFOSG0XBNac;;;;;;250;0;0;0
6,30946E+11;;;;dishes;lite-7-dessert;Баркетта с вишней и творожным кремом;Морковь, сыр творожный, сахар, мука, масло, яйцо, грецкий орех, ананас;https://static.tildacdn.com/tild6233-3436-4162-b631-306266353663/Rectangle_22.png;0;;;;;XMD8jXHvEB6N6Dtre8au;;;;;;60;0;0;0
2,0663E+11;;;;dishes;avan-1-1;Блинчики крем-чиз с персиками и черничным муссом;Сливки, черника, яйцо, молоко, мука, персики, сахар, сыр;https://static.tildacdn.com/tild3763-3432-4534-a264-336334636637/Rectangle_10.png;0;;;;;1gtHTdGG5sFl5TZ40Nlh;;;;;;250;0;0;0
2,27765E+11;;;;dishes;avan-1-2;Салат с тунцом и кремом бальзамик;Салат, тунец, картофель, имбирь маслины, черри, яйцо, кунжут;https://static.tildacdn.com/tild3331-3137-4635-a237-336530386463/Rectangle_27.png;0;;;;;jHzxVicjvSPTIkblx9ZU;;;;;;150;0;0;0
7,01889E+11;;;;dishes;avan-1-3;Бургер ЯБС;Булка, мясной фарш, сыр чеддер, огурец, томат, соус;https://static.tildacdn.com/tild3364-3934-4664-b536-623965393634/Rectangle_28.png;0;;;;;YDETjnet3GfNIT8h4i2V;;;;;;280;0;0;0
5,14811E+11;;;;dishes;avan-1-4;Утиная грудка унаги с гречневой лапшой;"Филе утки, гречневая лапша, морковь, перец, соус ""унаги"", кунжут, зелень";https://static.tildacdn.com/tild3135-6565-4737-b065-653664613530/Rectangle_30-3.png;0;;;;;NG6sdi1kkkREHsEPgNUg;;;;;;280;0;0;0
3,24116E+11;;;;dishes;avan-1-5;Жульен Дон-Пепе;"Коризиночка, грибы, филе куриное, сливочный соус ""Бешамель"", сыр";https://static.tildacdn.com/tild6566-3862-4464-b131-383036636335/Rectangle_29-5.png;0;;;;;EzkSJZkA38H8RSZty623;;;;;;150;0;0;0
7,7735E+11;;;;dishes;avan-1-6;Треска по-сычуаньски с припущенными мини овощами;Филе трески, специи, цветная капуста, морковь бэйби, фасоль стручковая, сычуаньский соус, панко, сыр гауда, чеснок;https://static.tildacdn.com/tild3630-3230-4737-a531-363266313838/Rectangle_37.png;0;;;;;h20rjF20mlaOzLhUK5du;;;;;;250;0;0;0
8,27747E+11;;;;dishes;avan-1-dessert;Чизкейк классический;Сыр творожный, пшеничная мука, вода, соль, лимонная кислота, сахар, патока, меланж, сливки;https://static.tildacdn.com/tild3661-6133-4338-b738-326337613636/Rectangle_30.png;0;;;;;IdB4UR1jDFnbTDdp4VPl;;;;;;50;0;0;0
4,41522E+11;;;;dishes;avan-2-1;Картофельный хашбраун с яйцом в беконе;"Картофельный хашбраун, яйцо, бекон, лук фри, соус ""свит чили""";https://static.tildacdn.com/tild3666-3234-4262-a130-303531653734/Rectangle_10-1.png;0;;;;;RtpLjsZ0kmjPGjGJfejK;;;;;;300;0;0;0
4,54455E+11;;;;dishes;avan-2-2;Салат чикен пеппер;Филе куриное, листья салата, черри, соус, карри;https://static.tildacdn.com/tild6665-6536-4963-a632-356664623036/Rectangle_27-1.png;0;;;;;hBAAy1RYKFaE3dlYBOc9;;;;;;150;0;0;0
